number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    370                  94                   0.0                  100                  370.0                94.0                
10                   0                    0                    292                  49                   0.0                  100                  292.0                49.0                
10                   0                    0                    279                  57                   0.0                  100                  278.0                57.0                
10                   0                    0                    370                  67                   0.0                  100                  356.0                67.0                
10                   0                    0                    308                  78                   0.0                  100                  308.0                78.0                
10                   0                    0                    392                  79                   0.0                  100                  392.0                79.0                
10                   0                    0                    219                  53                   0.0                  100                  219.0                53.0                
10                   0                    0                    725                  106                  0.0                  100                  725.0                106.0               
10                   0                    0                    501                  61                   0.0                  100                  501.0                61.0                
10                   0                    0                    370                  51                   0.0                  100                  370.0                51.0                
10                   0                    0                    359                  83                   0.0                  100                  344.0                83.0                
10                   0                    0                    679                  103                  0.0                  100                  679.0                103.0               
10                   0                    0                    293                  61                   0.0                  100                  293.0                61.0                
10                   0                    0                    295                  70                   0.0                  100                  295.0                70.0                
10                   0                    0                    912                  142                  0.0                  100                  912.0                142.0               
10                   0                    0                    355                  64                   0.0                  100                  355.0                64.0                
10                   0                    0                    234                  47                   0.0                  100                  234.0                47.0                
10                   0                    0                    306                  60                   0.0                  100                  306.0                60.0                
10                   0                    0                    323                  55                   0.0                  100                  323.0                55.0                
10                   0                    0                    266                  57                   0.0                  100                  266.0                57.0                
10                   0                    0                    370                  86                   0.0                  100                  370.0                86.0                
10                   0                    0                    204                  50                   0.0                  100                  204.0                50.0                
10                   0                    0                    267                  99                   0.0                  100                  267.0                99.0                
10                   0                    0                    374                  103                  0.0                  100                  374.0                103.0               
10                   0                    0                    408                  95                   0.0                  100                  408.0                95.0                
10                   0                    0                    280                  55                   0.0                  100                  280.0                55.0                
10                   0                    0                    240                  44                   0.0                  100                  240.0                44.0                
10                   0                    0                    349                  77                   0.0                  100                  349.0                77.0                
10                   0                    0                    348                  69                   0.0                  100                  348.0                69.0                
10                   0                    0                    240                  55                   0.0                  100                  237.0                55.0                
10                   0                    0                    441                  91                   0.0                  100                  441.0                91.0                
10                   0                    0                    557                  75                   0.0                  100                  557.0                75.0                
10                   0                    0                    349                  86                   0.0                  100                  349.0                86.0                
10                   0                    0                    321                  56                   0.0                  100                  321.0                56.0                
10                   0                    0                    305                  56                   0.0                  100                  305.0                56.0                
10                   0                    0                    364                  59                   0.0                  100                  364.0                59.0                
10                   0                    0                    364                  65                   0.0                  100                  364.0                65.0                
10                   0                    0                    319                  62                   0.0                  100                  319.0                62.0                
10                   0                    0                    723                  106                  0.0                  100                  723.0                106.0               
10                   0                    0                    306                  70                   0.0                  100                  306.0                70.0                
10                   0                    0                    550                  82                   0.0                  100                  550.0                82.0                
10                   0                    0                    268                  62                   0.0                  100                  267.0                61.0                
10                   0                    0                    238                  46                   0.0                  100                  238.0                46.0                
10                   0                    0                    417                  95                   0.0                  100                  417.0                95.0                
10                   0                    0                    246                  65                   0.0                  100                  246.0                65.0                
10                   0                    0                    327                  75                   0.0                  100                  326.0                75.0                
10                   0                    0                    332                  50                   0.0                  100                  332.0                50.0                
10                   0                    0                    430                  86                   0.0                  100                  430.0                86.0                
10                   0                    0                    355                  62                   0.0                  100                  340.0                62.0                
10                   0                    0                    324                  81                   0.0                  100                  324.0                81.0                
10                   0                    0                    350                  64                   0.0                  100                  350.0                64.0                
10                   0                    0                    516                  84                   0.0                  100                  516.0                84.0                
10                   0                    0                    270                  44                   0.0                  100                  270.0                44.0                
10                   0                    0                    286                  50                   0.0                  100                  286.0                50.0                
10                   0                    0                    368                  55                   0.0                  100                  368.0                55.0                
10                   0                    0                    481                  107                  0.0                  100                  470.0                107.0               
10                   0                    0                    412                  86                   0.0                  100                  400.0                86.0                
10                   0                    0                    252                  62                   0.0                  100                  252.0                62.0                
10                   0                    0                    484                  108                  0.0                  100                  483.0                108.0               
10                   0                    0                    475                  93                   0.0                  100                  475.0                93.0                
10                   0                    0                    592                  96                   0.0                  100                  592.0                96.0                
10                   0                    0                    267                  50                   0.0                  100                  267.0                50.0                
10                   0                    0                    425                  76                   0.0                  100                  417.0                76.0                
10                   0                    0                    559                  102                  0.0                  100                  559.0                102.0               
10                   0                    0                    412                  70                   0.0                  100                  399.0                70.0                
10                   0                    0                    329                  79                   0.0                  100                  329.0                79.0                
10                   0                    0                    480                  67                   0.0                  100                  480.0                67.0                
10                   0                    0                    196                  34                   0.0                  100                  181.0                34.0                
10                   0                    0                    348                  75                   0.0                  100                  334.0                75.0                
10                   0                    0                    205                  36                   0.0                  100                  205.0                36.0                
10                   0                    0                    237                  61                   0.0                  100                  237.0                61.0                
10                   0                    0                    211                  33                   0.0                  100                  211.0                33.0                
10                   0                    0                    353                  59                   0.0                  100                  353.0                59.0                
10                   0                    0                    376                  114                  0.0                  100                  376.0                114.0               
10                   0                    0                    241                  45                   0.0                  100                  241.0                45.0                
10                   0                    0                    308                  85                   0.0                  100                  308.0                85.0                
10                   0                    0                    464                  68                   0.0                  100                  434.0                68.0                
10                   0                    0                    248                  66                   0.0                  100                  233.0                66.0                
10                   0                    0                    372                  69                   0.0                  100                  371.0                69.0                
10                   0                    0                    179                  42                   0.0                  100                  179.0                42.0                
10                   0                    0                    157                  44                   0.0                  100                  157.0                44.0                
10                   0                    0                    280                  45                   0.0                  100                  279.0                45.0                
10                   0                    0                    392                  66                   0.0                  100                  392.0                66.0                
10                   0                    0                    212                  37                   0.0                  100                  212.0                37.0                
10                   0                    0                    364                  63                   0.0                  100                  364.0                63.0                
10                   0                    0                    284                  77                   0.0                  100                  284.0                77.0                
10                   0                    0                    265                  67                   0.0                  100                  265.0                67.0                
10                   0                    0                    337                  81                   0.0                  100                  337.0                81.0                
10                   0                    0                    298                  89                   0.0                  100                  298.0                89.0                
10                   0                    0                    410                  82                   0.0                  100                  410.0                82.0                
10                   0                    0                    229                  62                   0.0                  100                  229.0                62.0                
10                   0                    0                    230                  56                   0.0                  100                  230.0                56.0                
10                   0                    0                    294                  74                   0.0                  100                  286.0                74.0                
10                   0                    0                    340                  60                   0.0                  100                  340.0                60.0                
10                   0                    0                    269                  64                   0.0                  100                  269.0                64.0                
10                   0                    0                    218                  52                   0.0                  100                  218.0                52.0                
10                   0                    0                    198                  43                   0.0                  100                  198.0                43.0                
10                   0                    0                    297                  59                   0.0                  100                  297.0                59.0                
10                   0                    0                    360                  74                   0.0                  100                  360.0                74.0                
10                   0                    0                    727                  104                  0.0                  100                  726.0                104.0               
10                   0                    0                    319                  65                   0.0                  100                  319.0                65.0                
10                   0                    0                    221                  69                   0.0                  100                  221.0                69.0                
10                   0                    0                    247                  49                   0.0                  100                  247.0                49.0                
10                   0                    0                    797                  127                  0.0                  100                  704.0                127.0               
10                   0                    0                    451                  116                  0.0                  100                  451.0                116.0               
10                   0                    0                    214                  44                   0.0                  100                  214.0                44.0                
10                   0                    0                    276                  48                   0.0                  100                  256.0                48.0                
10                   0                    0                    406                  62                   0.0                  100                  384.0                62.0                
10                   0                    0                    266                  52                   0.0                  100                  266.0                52.0                
10                   0                    0                    331                  59                   0.0                  100                  331.0                59.0                
10                   0                    0                    299                  46                   0.0                  100                  296.0                46.0                
10                   0                    0                    369                  51                   0.0                  100                  369.0                51.0                
10                   0                    0                    432                  69                   0.0                  100                  432.0                69.0                
10                   0                    0                    295                  48                   0.0                  100                  295.0                48.0                
10                   0                    0                    532                  85                   0.0                  100                  532.0                85.0                
10                   0                    0                    274                  85                   0.0                  100                  274.0                85.0                
10                   0                    0                    440                  71                   0.0                  100                  440.0                71.0                
10                   0                    0                    617                  83                   0.0                  100                  615.0                83.0                
10                   0                    0                    325                  71                   0.0                  100                  325.0                71.0                
10                   0                    0                    344                  60                   0.0                  100                  344.0                60.0                
10                   0                    0                    418                  70                   0.0                  100                  418.0                70.0                
10                   0                    0                    228                  57                   0.0                  100                  228.0                57.0                
10                   0                    0                    262                  48                   0.0                  100                  262.0                48.0                
10                   0                    0                    170                  30                   0.0                  100                  170.0                30.0                
10                   0                    0                    322                  61                   0.0                  100                  321.0                61.0                
10                   0                    0                    477                  82                   0.0                  100                  477.0                82.0                
10                   0                    0                    343                  76                   0.0                  100                  343.0                76.0                
10                   0                    0                    576                  115                  0.0                  100                  534.0                115.0               
10                   0                    0                    274                  54                   0.0                  100                  274.0                54.0                
10                   0                    0                    194                  39                   0.0                  100                  194.0                39.0                
10                   0                    0                    325                  69                   0.0                  100                  299.0                69.0                
10                   0                    0                    437                  75                   0.0                  100                  437.0                75.0                
10                   0                    0                    325                  61                   0.0                  100                  325.0                61.0                
10                   0                    0                    268                  45                   0.0                  100                  268.0                45.0                
10                   0                    0                    548                  96                   0.0                  100                  548.0                96.0                
10                   0                    0                    256                  44                   0.0                  100                  256.0                44.0                
10                   0                    0                    299                  59                   0.0                  100                  299.0                59.0                
10                   0                    0                    219                  38                   0.0                  100                  219.0                38.0                
10                   0                    0                    595                  89                   0.0                  100                  595.0                89.0                
10                   0                    0                    215                  38                   0.0                  100                  215.0                38.0                
10                   0                    0                    379                  91                   0.0                  100                  379.0                91.0                
